Country,FigTimeBin,LocationIsland,ReefSiteLocality,Lat,Long,StartYearAD,EndYearAD,StudyDepth,ApalmPres,AcervPres,BranchPoriPres,AgarPres,CavPres,ColpPres,DiplPres,MadrPres,MeanPres,MillPres,OrbiPres,PastrPres,SidePres,StephPres
USVI,1995-1999,St. John,Random Sites,18.30701667,-64.72131667,1997,NA,9,0,0,NA,1,NA,0,1,0,NA,0,0,NA,1,NA
USVI,1995-1999,St. John,Tektite,18.30701667,-64.72131667,1997,NA,14,0,0,NA,1,NA,1,1,0,NA,0,1,NA,1,NA
USVI,1995-1999,St. John,Yawzi,18.30701667,-64.72131667,1997,NA,9,0,0,NA,0,NA,1,0,0,NA,0,1,NA,0,NA
USVI,1995-1999,St. John,Random Sites,18.30701667,-64.72131667,1998,NA,9,0,0,NA,1,NA,0,1,0,NA,0,0,NA,1,NA
USVI,1995-1999,St. John,Tektite,18.30701667,-64.72131667,1998,NA,14,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,1995-1999,St. John,Yawzi,18.30701667,-64.72131667,1998,NA,9,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,1995-1999,St. John,Random Sites,18.30701667,-64.72131667,1999,NA,9,0,0,NA,1,NA,0,1,0,NA,0,0,NA,1,NA
USVI,1995-1999,St. John,Tektite,18.30701667,-64.72131667,1999,NA,14,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,1995-1999,St. John,Yawzi,18.30701667,-64.72131667,1999,NA,9,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,2000-2004,St. John,Random Sites,18.30701667,-64.72131667,2000,NA,9,0,0,NA,1,NA,0,1,0,NA,0,0,NA,1,NA
USVI,2000-2004,St. John,Tektite,18.30701667,-64.72131667,2000,NA,14,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,2000-2004,St. John,Yawzi,18.30701667,-64.72131667,2000,NA,9,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,2000-2004,St. John,Random Sites,18.30701667,-64.72131667,2001,NA,9,0,0,NA,1,NA,0,1,0,NA,0,0,NA,1,NA
USVI,2000-2004,St. John,Tektite,18.30701667,-64.72131667,2001,NA,14,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
